CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB2D,1/1/2019,18.01082023,18.00666523,6.39E-05,6.40E-05
,1/2/2019,18.10784229,18.10606885,2.14E-07,2.14E-07
,1/3/2019,17.41575901,17.4138635,1.65E-08,1.65E-08
,1/4/2019,16.88801289,16.89698855,3.82E-08,3.84E-08
,1/5/2019,14.50878008,14.52389959,1.46E-08,1.47E-08
,1/6/2019,12.58873506,12.59357862,1.06E-09,1.06E-09
,1/7/2019,12.70049842,12.70133507,1.24E-10,1.24E-10
,1/8/2019,13.34207034,13.33817867,1.10E-10,1.10E-10
,1/9/2019,13.87796505,13.88428712,1.72E-10,1.72E-10
,1/10/2019,11.29268893,11.30870795,1.78E-10,1.78E-10
,1/11/2019,9.39619259,9.40316836,2.40E-10,2.40E-10
,1/12/2019,10.23735205,10.21671009,5.22E-10,5.16E-10
,1/13/2019,12.39966142,12.39694333,8.42E-10,8.42E-10
,1/14/2019,12.53739345,12.55343064,1.20E-10,1.20E-10
,1/15/2019,10.12824372,10.1398166,5.68E-11,5.68E-11
,1/16/2019,8.131630878,8.131973624,2.07E-11,2.07E-11
,1/17/2019,9.380098581,9.357647419,4.15E-11,4.14E-11
,1/18/2019,11.10878162,11.0708766,5.99E-11,5.98E-11
,1/19/2019,13.88298639,13.81421077,2.55E-09,2.54E-09
,1/20/2019,10.91241769,10.94075179,4.73E-11,4.73E-11
,1/21/2019,7.90198801,7.877520243,9.94E-10,9.05E-10
,1/22/2019,14.26188095,14.27856179,3.21E-08,3.29E-08
,1/23/2019,11.49202065,11.50934835,2.10E-11,2.10E-11
,1/24/2019,9.182316939,9.187174797,7.42E-12,7.41E-12
,1/25/2019,9.484150052,9.484667182,6.41E-12,6.41E-12
,1/26/2019,10.80323621,10.80073579,3.34E-12,3.34E-12
,1/27/2019,11.82915572,11.83578618,1.07E-11,1.07E-11
,1/28/2019,8.418212215,8.417350928,5.44E-12,5.42E-12
,1/29/2019,11.10878162,11.0708766,5.99E-11,5.98E-11
,1/30/2019,13.88298639,13.81421077,2.55E-09,2.54E-09
,1/31/2019,10.91241769,10.94075179,4.73E-11,4.73E-11
,2/1/2019,9.193732222,9.183319132,1.33E-11,1.32E-11
,2/2/2019,10.53184923,10.51277943,7.81E-12,7.79E-12
,2/3/2019,13.69686703,12.84438972,1.38E-11,1.06E-11
,2/4/2019,16.88801289,16.89698855,3.82E-08,3.84E-08
,2/5/2019,18.08511964,18.07586074,7.45E-12,7.43E-12
,2/6/2019,18.72195212,18.71241355,9.20E-12,9.17E-12
,2/7/2019,20.11746772,20.11674619,4.75E-11,4.70E-11
,2/8/2019,20.00472283,20.02952766,4.11E-11,4.12E-11
,2/9/2019,16.42253864,16.45911932,7.88E-12,7.13E-12
,2/10/2019,14.22571301,14.21749707,3.01E-09,2.54E-09
,2/11/2019,14.00659597,13.91102739,1.59E-08,1.51E-08
,2/12/2019,14.76056723,14.70213854,7.12E-09,7.07E-09
,2/13/2019,14.96828731,14.9861263,6.76E-10,6.77E-10
,2/14/2019,15.25516287,15.26525569,8.10E-11,7.97E-11
,2/15/2019,14.41032406,14.37877639,6.43E-11,6.43E-11
,2/16/2019,16.49618971,16.44435513,5.56E-11,5.54E-11
,2/17/2019,19.65833783,19.61277111,1.23E-11,8.19E-12
,2/18/2019,21.24769219,21.2689805,2.71E-11,2.60E-11
,2/19/2019,18.36439172,18.38568632,9.79E-11,8.82E-11
,2/20/2019,16.89529832,16.86317952,1.69E-06,1.64E-06
,2/21/2019,18.8953352,18.87796879,5.13E-11,5.11E-11
,2/22/2019,21.81657632,21.81993413,2.34E-12,2.34E-12
,2/23/2019,22.56947255,22.5686628,5.83E-12,5.80E-12
,2/24/2019,14.26188095,14.27856179,3.21E-08,3.29E-08
,2/25/2019,17.98556121,18.00742336,2.31E-13,2.31E-13
,2/26/2019,14.77857892,14.77267841,3.74E-13,3.74E-13
,2/27/2019,15.85273186,15.84007212,1.46E-13,1.46E-13
,2/28/2019,18.72505967,18.71799763,9.37E-14,9.34E-14
,3/1/2019,20.28679466,20.2851042,8.63E-14,8.62E-14
,3/2/2019,20.72838108,20.72684669,3.81E-14,3.81E-14
,3/3/2019,21.00769416,21.01226163,4.62E-14,4.61E-14
,3/4/2019,17.1083169,17.13065199,6.15E-14,6.16E-14
,3/5/2019,12.58654932,12.60445166,2.62E-14,2.62E-14
,3/6/2019,8.924677412,8.934786876,4.88E-14,4.87E-14
,3/7/2019,9.305135091,9.30391566,4.79E-14,4.78E-14
,3/8/2019,11.91532405,11.89700079,3.07E-14,3.07E-14
,3/9/2019,15.51654255,15.49726029,2.95E-14,2.94E-14
,3/10/2019,18.31052383,18.29783082,1.03E-14,1.03E-14
,3/11/2019,19.56225491,19.55098867,1.71E-14,1.71E-14
,3/12/2019,18.81967815,18.81760987,1.65E-14,1.64E-14
,3/13/2019,18.75715502,18.73418633,2.92E-09,2.62E-09
,3/14/2019,20.07427788,20.04190612,3.65E-10,3.13E-10
,3/15/2019,21.82871246,21.845469,1.13E-11,1.13E-11
,3/16/2019,19.3119053,19.3384308,1.18E-13,1.17E-13
,3/17/2019,15.39701903,15.41321568,4.55E-14,4.52E-14
,3/18/2019,13.59236749,13.60146753,4.01E-14,3.97E-14
,3/19/2019,13.30728245,13.31393913,2.80E-14,2.78E-14
,3/20/2019,13.41791054,13.41940737,1.20E-14,1.20E-14
,3/21/2019,13.70070386,13.70532215,2.93E-14,2.97E-14
,3/22/2019,14.47178741,14.38094628,3.19E-14,3.22E-14
,3/23/2019,15.7226067,15.37138653,6.93E-07,7.04E-08
,3/24/2019,16.23986097,16.10023769,1.67E-06,8.06E-07
,3/25/2019,18.0942986,17.83356269,3.46E-06,1.46E-06
,3/26/2019,19.40008624,19.4066205,2.50E-11,2.50E-11
,3/27/2019,19.52683751,19.53778998,6.03E-10,6.07E-10
,3/28/2019,19.05700461,19.06007989,1.01E-05,1.00E-05
,3/29/2019,18.50964944,18.48108379,0.000257635,0.000251433
,3/30/2019,19.91089614,19.89954344,0.004615656,0.004513125
,3/31/2019,19.86358897,19.88707789,0.002796771,0.002840841
,4/1/2019,17.21466168,17.23706826,1.81E-08,1.72E-08
,4/2/2019,18.00204802,18.01943763,1.64E-07,1.64E-07
,4/3/2019,18.46094696,18.46217163,0.042952758,0.054778183
,4/4/2019,18.70163735,18.73135765,0.853397182,0.910028752
,4/5/2019,19.70663571,19.11728565,0.231566458,1.203133719
,4/6/2019,21.20028742,21.00063014,0.880814821,0.985921117
,4/7/2019,22.61730258,22.61362855,1.2657415,1.276169936
,4/8/2019,23.1707592,23.17819969,1.502325071,1.500976831
,4/9/2019,22.97250827,22.97282187,0.272091658,0.274650562
,4/10/2019,24.25623584,23.09888641,3.92E-06,3.87E-06
,4/11/2019,24.04143635,23.95248008,3.40E-06,3.06E-06
,4/12/2019,24.80670317,24.76904631,3.43E-06,3.42E-06
,4/13/2019,24.54201134,24.54383318,2.19E-05,2.09E-05
,4/14/2019,24.70126875,24.72467494,0.000144668,0.000141469
,4/15/2019,22.25664679,22.28753058,6.42E-08,6.56E-08
,4/16/2019,19.9028314,19.90865016,5.45E-09,5.45E-09
,4/17/2019,20.32725207,20.32735284,7.54E-09,7.50E-09
,4/18/2019,21.5892357,21.5811615,2.97E-07,2.94E-07
,4/19/2019,22.82161188,22.83945378,3.72E-06,3.73E-06
,4/20/2019,20.05197922,20.07492352,3.86E-09,3.89E-09
,4/21/2019,17.83523568,17.83281914,6.93E-10,6.97E-10
,4/22/2019,19.23966058,19.22923311,1.11E-10,1.11E-10
,4/23/2019,21.250887,21.2425131,1.23E-10,1.23E-10
,4/24/2019,22.03396591,22.0312473,1.07E-10,1.07E-10
,4/25/2019,22.05446506,22.04483056,1.28E-09,1.25E-09
,4/26/2019,22.57779598,22.58153351,3.14E-08,3.15E-08
,4/27/2019,22.44902452,22.45806034,5.74E-11,5.74E-11
,4/28/2019,21.58535123,21.54098105,3.04E-10,3.03E-10
,4/29/2019,22.33778381,22.27020796,2.00E-10,1.99E-10
,4/30/2019,23.94572266,23.74581997,1.73E-09,1.28E-09
,5/1/2019,25.51614833,25.4307886,1.82E-08,1.49E-08
,5/2/2019,25.06961528,24.98845983,9.87E-08,7.62E-08
,5/3/2019,26.52326965,26.21259928,3.10E-07,1.46E-07
,5/4/2019,26.46014881,26.48046867,1.05E-05,1.04E-05
,5/5/2019,26.15758419,26.03541207,3.65E-07,3.66E-07
,5/6/2019,26.29967729,26.20593794,2.59E-08,2.62E-08
,5/7/2019,26.47690097,26.41033912,5.98E-09,4.85E-09
,5/8/2019,26.16730531,26.16893601,4.51E-08,4.42E-08
,5/9/2019,26.67484919,26.68182333,0.00016789,0.00016777
,5/10/2019,26.98070645,26.93363563,3.55E-06,3.56E-06
,5/11/2019,26.94156631,26.81645052,2.51E-08,2.35E-08
,5/12/2019,26.67789547,26.69141316,1.92E-08,1.92E-08
,5/13/2019,26.3353533,26.34508181,8.25E-09,8.27E-09
,5/14/2019,25.33214831,25.3487823,3.59E-11,3.58E-11
,5/15/2019,24.15606538,24.16237076,3.32E-11,3.32E-11
,5/16/2019,24.78910629,24.78073239,5.40E-11,5.40E-11
,5/17/2019,26.3850437,26.33377266,2.10E-10,2.07E-10
,5/18/2019,26.52890213,26.44094594,2.72E-09,2.57E-09
,5/19/2019,26.72668616,26.71618327,9.85E-08,8.68E-08
,5/20/2019,27.32398963,27.16932797,2.04E-08,1.94E-08
,5/21/2019,27.78394866,27.79336286,5.54E-07,5.43E-07
,5/22/2019,27.75837779,27.76531275,3.86E-05,3.72E-05
,5/23/2019,28.1837496,28.10825721,0.000109061,7.62E-05
,5/24/2019,28.94782225,28.94884857,6.29E-05,6.28E-05
,5/25/2019,29.82550947,29.60968916,1.05E-05,1.25E-05
,5/26/2019,30.39454643,30.29268122,2.43E-05,2.15E-05
,5/27/2019,30.03811685,30.06406101,0.000406523,0.00040782
,5/28/2019,29.24021029,29.19312795,0.000156854,0.000216045
,5/29/2019,28.80570451,28.78473035,0.001403504,0.001218686
,5/30/2019,28.60969742,28.62242254,0.045978943,0.045619687
,5/31/2019,28.55139224,28.48189648,0.049519206,0.064254774
,6/1/2019,29.14473701,29.0258441,0.041855403,0.056302531
,6/2/2019,29.71456146,29.49546218,0.041531958,0.044111339
,6/3/2019,30.68249758,30.269502,0.042031954,0.033330968
,6/4/2019,30.92315213,30.92680748,0.063828698,0.06355615
,6/5/2019,30.81521956,30.83171487,0.100180186,0.099899012
,6/6/2019,29.65498567,29.67805847,0.183062356,0.182659786
,6/7/2019,28.30795169,28.31853374,0.19380397,0.194052569
,6/8/2019,28.24932575,28.25368992,0.030359668,0.030583775
,6/9/2019,28.86765448,28.5623908,0.009118099,0.011599644
,6/10/2019,28.92997011,28.94088689,0.001302772,0.00131518
,6/11/2019,28.56713438,28.24729792,0.000151369,0.000146219
,6/12/2019,28.79634539,28.76918809,6.34E-05,6.42E-05
,6/13/2019,27.91356786,27.76659838,7.87E-05,7.80E-05
,6/14/2019,27.58480024,27.73341751,0.323899894,0.77218049
,6/15/2019,28.30616172,28.29363871,3.171856069,3.806826465
,6/16/2019,29.31684637,29.06100567,2.105620258,2.862512279
,6/17/2019,29.80151018,29.81011971,2.355039185,2.353686056
,6/18/2019,29.36092432,29.38199377,2.564946078,2.566893134
,6/19/2019,28.77787296,28.77726301,1.778143643,1.798124454
,6/20/2019,29.72037625,29.72317235,0.655611113,0.660361905
,6/21/2019,30.25954199,30.26568413,0.213385658,0.214242669
,6/22/2019,30.4508001,30.46362774,0.096392152,0.096787984
,6/23/2019,30.64199209,30.64879457,0.216787111,0.217606264
,6/24/2019,30.54058949,30.55859764,0.261664843,0.26177084
,6/25/2019,30.52302949,30.52857733,0.132661584,0.133233977
,6/26/2019,30.27572107,30.2880497,0.08685858,0.087026923
,6/27/2019,30.32634171,30.30668092,0.152001715,0.176356437
,6/28/2019,30.30273724,30.28366399,1.035342395,1.960119231
,6/29/2019,30.30430182,30.29240314,3.043584189,3.37303858
,6/30/2019,29.56829929,29.51882911,3.02129072,3.103448344
,7/1/2019,29.70693866,29.54714243,2.328152151,2.594964502
,7/2/2019,29.70471001,29.49732828,0.874760516,1.074803611
,7/3/2019,29.99897059,29.92494297,0.649524681,0.753082936
,7/4/2019,30.81979179,30.71782955,0.344725369,0.451916385
,7/5/2019,31.79176482,31.59492898,0.82858476,1.820702481
,7/6/2019,32.64400816,31.93023682,1.889165567,2.673082285
,7/7/2019,32.45566972,32.20959322,0.986716869,1.620894807
,7/8/2019,32.26760395,32.3809073,0.959477159,1.276615538
,7/9/2019,32.2355717,32.21459389,1.293751131,3.765762101
,7/10/2019,32.45098408,33.50238991,2.394767048,8.252366145
,7/11/2019,31.54786555,31.71720195,11.1936189,11.88468083
,7/12/2019,29.63817668,29.65918016,17.78897619,17.78245374
,7/13/2019,28.62372311,28.63196365,20.26338633,20.26169896
,7/14/2019,28.72998126,28.71370141,20.14051056,20.18528128
,7/15/2019,29.36849054,29.19928328,15.29424119,17.05346529
,7/16/2019,29.72330117,29.73062865,7.670569559,12.97079031
,7/17/2019,30.40530841,30.03142142,4.776775151,6.30087329
,7/18/2019,31.06177163,30.85261639,2.843841533,3.491125196
,7/19/2019,31.23547395,30.87364642,1.428770525,1.592444445
,7/20/2019,30.8775092,31.14905818,1.020186874,1.739281473
,7/21/2019,30.24215293,30.16343745,0.621416528,0.902421417
,7/22/2019,29.48613564,29.49111295,0.311448433,0.411050461
,7/23/2019,29.22725852,29.24770816,0.164218218,0.164803765
,7/24/2019,28.96397003,28.88354047,0.128846327,0.125706561
,7/25/2019,29.49199502,30.57641308,0.748794315,3.883814519
,7/26/2019,29.74255379,29.98031298,3.353021088,5.774145673
,7/27/2019,29.71506246,29.83054304,2.747252404,4.197515443
,7/28/2019,29.82259703,29.80811159,2.250231144,3.351185416
,7/29/2019,29.93916527,29.71418961,2.320506476,3.085694404
,7/30/2019,29.9340229,29.61755848,2.651977898,3.073295332
,7/31/2019,30.07611656,29.66938408,2.041109206,2.240212301
,8/1/2019,30.38629715,30.09526936,1.568087266,2.085466919
,8/2/2019,30.60970124,30.6637311,1.185164641,1.873369328
,8/3/2019,31.10029666,31.24110667,1.484026742,2.529059835
,8/4/2019,30.94431814,31.21645403,1.04953716,2.128663736
,8/5/2019,30.33997631,30.5096128,0.668450781,0.932394003
,8/6/2019,29.99281788,29.95662944,1.157164844,1.527470642
,8/7/2019,30.51819475,30.54746564,1.271230032,1.396225411
,8/8/2019,30.44132217,30.44706019,1.105439338,1.246909389
,8/9/2019,30.64147576,30.65974172,0.867685443,0.951625242
,8/10/2019,30.55056167,30.528754,0.985564047,1.207547625
,8/11/2019,30.56776031,30.55222551,0.867145891,0.897355445
,8/12/2019,30.6471262,30.57799339,0.918787348,1.207658688
,8/13/2019,31.37046528,31.22711857,1.483939926,1.767415655
,8/14/2019,31.64241489,31.63179334,1.471900305,1.685629002
,8/15/2019,31.89234797,31.70778521,1.266752825,2.014463426
