CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB3F,1/1/2019,18.38021954,18.08828982,7.01E-05,4.77E-05
,1/2/2019,18.9294618,18.7013646,3.75E-05,3.83E-05
,1/3/2019,18.28624765,18.21375585,1.06E-07,6.78E-08
,1/4/2019,17.68845566,17.71122622,1.46E-07,1.51E-07
,1/5/2019,14.75293752,14.77920508,2.86E-08,2.91E-08
,1/6/2019,13.15175843,13.16524307,5.80E-09,5.85E-09
,1/7/2019,12.95993531,12.95298906,5.72E-10,5.73E-10
,1/8/2019,13.66052647,13.63155444,1.31E-10,1.31E-10
,1/9/2019,14.06774529,14.08190608,1.62E-10,1.62E-10
,1/10/2019,11.31838266,11.35191552,1.98E-10,1.98E-10
,1/11/2019,9.225620627,9.235189756,1.85E-10,1.83E-10
,1/12/2019,10.21990395,10.18171366,8.86E-10,8.57E-10
,1/13/2019,12.1811796,12.16772111,7.82E-09,7.88E-09
,1/14/2019,12.1010685,12.12807488,1.92E-10,1.92E-10
,1/15/2019,10.58575956,10.60967187,9.73E-11,9.72E-11
,1/16/2019,8.998218218,8.748784065,1.07E-10,8.77E-11
,1/17/2019,9.927284241,9.758918126,1.60E-08,1.03E-08
,1/18/2019,11.84411319,11.03667696,6.29E-08,5.00E-08
,1/19/2019,14.26046105,13.97257559,1.86E-05,1.91E-05
,1/20/2019,11.54580184,11.58952351,9.10E-11,9.08E-11
,1/21/2019,10.7908442,10.79107026,1.89E-06,1.79E-06
,1/22/2019,13.987807,14.01723429,2.05E-05,2.10E-05
,1/23/2019,11.77709611,11.81009082,5.91E-11,5.95E-11
,1/24/2019,9.591248194,9.605952938,4.09E-11,3.98E-11
,1/25/2019,9.34395047,9.322272182,3.29E-11,3.16E-11
,1/26/2019,10.43451921,10.16532679,4.66E-11,4.57E-11
,1/27/2019,11.98731522,11.99984312,9.73E-11,1.02E-10
,1/28/2019,8.507867177,8.507259746,1.43E-10,1.26E-10
,1/29/2019,8.998218218,8.748784065,1.07E-10,8.77E-11
,1/30/2019,9.927284241,9.758918126,1.60E-08,1.03E-08
,1/31/2019,9.34395047,9.322272182,3.29E-11,3.16E-11
,2/1/2019,9.366081278,9.107400298,4.07E-08,1.67E-08
,2/2/2019,11.62610642,10.6653839,1.01E-07,1.81E-08
,2/3/2019,14.64937909,12.37084754,1.14E-06,9.14E-07
,2/4/2019,17.68845566,17.71122622,1.46E-07,1.51E-07
,2/5/2019,16.92875008,16.33134147,8.08E-07,4.88E-07
,2/6/2019,18.49459799,18.42915511,2.53E-06,2.38E-06
,2/7/2019,19.51006953,19.50762335,1.23E-05,1.21E-05
,2/8/2019,19.57599521,19.61089889,1.01E-05,1.02E-05
,2/9/2019,15.05099909,15.08666257,5.20E-12,5.22E-12
,2/10/2019,13.99895223,13.97407611,4.33E-11,4.65E-11
,2/11/2019,14.9861203,14.92611961,0.051947457,0.050744483
,2/12/2019,16.52896039,16.5105176,0.116671435,0.118086171
,2/13/2019,14.51738465,14.54343168,4.04E-05,4.04E-05
,2/14/2019,13.42931481,13.43153187,2.42E-05,2.26E-05
,2/15/2019,14.72935192,14.67892329,2.88E-05,2.79E-05
,2/16/2019,17.96655798,16.98917294,5.48E-05,5.56E-05
,2/17/2019,19.60361274,19.10532784,9.86E-05,9.49E-05
,2/18/2019,20.1448435,20.17219027,0.000224372,0.000223
,2/19/2019,17.45136205,17.47090101,8.08E-07,7.10E-07
,2/20/2019,17.91218479,17.87905391,0.000395808,0.000372524
,2/21/2019,19.70772433,18.93523145,0.002991682,0.002279778
,2/22/2019,21.01843762,20.55016255,0.000421456,0.000148459
,2/23/2019,22.18473593,22.1826822,6.16E-05,5.81E-05
,2/24/2019,13.987807,14.01723429,2.05E-05,2.10E-05
,2/25/2019,18.16126871,18.20754623,4.04E-11,3.93E-11
,2/26/2019,15.73631386,15.58855402,9.99E-10,3.68E-10
,2/27/2019,16.99130901,15.6795754,3.77E-08,2.68E-10
,2/28/2019,18.7298979,18.19194976,9.17E-09,8.97E-10
,3/1/2019,20.35079304,20.32986347,1.06E-10,1.01E-10
,3/2/2019,21.11542892,20.92310905,1.37E-11,1.36E-11
,3/3/2019,21.26340938,21.27605581,1.69E-11,1.76E-11
,3/4/2019,17.75149369,17.79808227,1.06E-11,1.13E-11
,3/5/2019,12.89908886,12.9370803,2.57E-13,2.61E-13
,3/6/2019,9.12181743,9.143697381,1.66E-13,1.60E-13
,3/7/2019,9.239103516,9.230267763,6.04E-13,5.44E-13
,3/8/2019,11.91780639,11.77018933,1.94E-11,1.52E-11
,3/9/2019,15.3894312,15.21922954,2.42E-10,9.84E-11
,3/10/2019,19.49973583,18.24406552,4.47E-09,1.16E-10
,3/11/2019,20.78884284,19.81007671,7.86E-10,1.10E-10
,3/12/2019,19.31124894,19.09417343,2.07E-11,1.21E-11
,3/13/2019,19.47412038,19.4573137,1.90E-09,1.69E-09
,3/14/2019,20.87105711,20.85476502,8.27E-07,8.11E-07
,3/15/2019,21.52369316,21.55061491,2.95E-06,2.95E-06
,3/16/2019,19.25559847,19.29803054,7.51E-12,7.33E-12
,3/17/2019,16.23123984,16.26616319,8.68E-12,8.50E-12
,3/18/2019,14.06048735,14.07559975,3.56E-12,3.42E-12
,3/19/2019,13.50906579,13.48082618,2.47E-11,2.27E-11
,3/20/2019,14.29764446,13.44520783,3.28E-11,1.63E-11
,3/21/2019,14.12878048,14.02516214,1.03E-10,1.08E-10
,3/22/2019,14.89006531,14.908523,0.007983364,0.549680213
,3/23/2019,15.71006513,16.24334725,0.378017612,3.73340705
,3/24/2019,16.94367651,16.95775843,0.673887692,3.83186393
,3/25/2019,18.59981926,18.16791821,0.980893098,1.747414221
,3/26/2019,19.73280732,19.43591452,0.234572771,1.757655377
,3/27/2019,18.58920399,18.35999171,0.070658651,0.396296217
,3/28/2019,18.41603621,18.31216176,0.803881619,1.489510278
,3/29/2019,18.82424378,19.17065525,1.17545817,1.787905042
,3/30/2019,20.02510524,20.00428168,1.895094881,1.893474013
,3/31/2019,20.38737075,20.42021179,1.194444933,1.19854302
,4/1/2019,17.39551695,17.74604328,0.119777211,0.707833467
,4/2/2019,17.29499364,18.43008153,0.430399201,1.859468994
,4/3/2019,17.88848472,18.57997545,1.678810303,4.0339501
,4/4/2019,18.71040646,18.73379787,3.897221039,4.746413867
,4/5/2019,19.92134603,19.50373451,3.115383436,5.133326391
,4/6/2019,21.3819615,20.16753117,2.806426098,4.240442187
,4/7/2019,22.44824028,21.79443351,3.127756188,3.595897943
,4/8/2019,22.94798787,22.95428832,4.014791757,4.016150425
,4/9/2019,23.04563427,22.98064645,4.242812807,5.00557675
,4/10/2019,24.10293063,23.5745585,0.202341393,5.095312277
,4/11/2019,24.44740955,24.56181518,0.302023835,3.388539958
,4/12/2019,24.94756611,24.28588533,0.520211565,0.589742116
,4/13/2019,24.76348019,24.75455674,0.107451788,0.131547165
,4/14/2019,24.39448007,24.42077525,0.868418436,0.87242774
,4/15/2019,21.40132888,21.4413863,9.00E-06,9.28E-06
,4/16/2019,20.9404556,20.73143848,6.69E-07,1.46E-07
,4/17/2019,20.98981015,20.42260218,1.31E-05,3.44E-06
,4/18/2019,21.4349978,21.41098038,0.001294111,0.001280686
,4/19/2019,22.52532403,22.54857747,0.004561522,0.004637816
,4/20/2019,19.93078955,19.96621887,2.12E-08,2.32E-08
,4/21/2019,18.26003607,17.49403358,2.85E-07,1.69E-08
,4/22/2019,19.39913003,18.13890759,1.17E-06,6.97E-08
,4/23/2019,21.17973105,20.20535207,3.35E-07,1.82E-08
,4/24/2019,21.88781873,21.56486956,2.27E-07,7.30E-08
,4/25/2019,22.32902431,22.3090814,1.24E-07,1.23E-07
,4/26/2019,22.56796082,22.5570759,3.55E-07,3.66E-07
,4/27/2019,22.19805694,21.97826958,1.99E-08,3.39E-09
,4/28/2019,23.26429113,21.99675457,1.12E-07,1.08E-07
,4/29/2019,23.87985071,22.87913791,1.01E-05,5.65E-07
,4/30/2019,24.05682985,23.60632284,7.03E-05,2.83E-05
,5/1/2019,25.00902065,24.98467239,0.000217345,0.00021706
,5/2/2019,25.79232311,25.58197141,0.000138086,0.000141413
,5/3/2019,26.64699094,26.10197965,0.000191511,0.000197317
,5/4/2019,26.58872477,26.61283493,0.000318879,0.00032047
,5/5/2019,26.37635024,26.08738343,0.000582822,0.000523645
,5/6/2019,26.43573252,26.08133928,0.000670425,0.000705435
,5/7/2019,26.71883265,26.40098302,0.02249664,0.161124901
,5/8/2019,26.52332362,26.53263346,0.287329406,0.288043044
,5/9/2019,26.54543471,26.55566724,0.373342994,0.373536527
,5/10/2019,26.96373034,26.77600797,0.38459417,0.370331715
,5/11/2019,27.32653435,27.31558887,0.13328719,0.129987073
,5/12/2019,26.94587111,26.96819282,0.018462401,0.018582563
,5/13/2019,26.28911877,26.26699694,0.003478223,0.003571445
,5/14/2019,25.59041158,25.62438655,6.19E-07,6.51E-07
,5/15/2019,24.97465316,24.71366286,4.11E-08,8.84E-09
,5/16/2019,26.07045778,25.08077327,2.70E-06,2.73E-07
,5/17/2019,26.52276317,26.14305639,1.60E-06,8.79E-07
,5/18/2019,26.76420371,26.66653728,0.003066565,0.000548043
,5/19/2019,27.05938943,27.06422369,0.011812583,0.010902738
,5/20/2019,27.91437745,27.58499606,0.000430573,0.000501674
,5/21/2019,28.07898355,28.09433397,0.002532598,0.002500504
,5/22/2019,27.90238198,27.90010142,0.018050056,0.017555075
,5/23/2019,28.32467024,28.04480672,0.063950026,0.079598213
,5/24/2019,28.92153811,28.65235432,0.053778859,0.134062533
,5/25/2019,29.7675631,29.16327159,0.10660275,0.246240466
,5/26/2019,30.29713408,29.72343628,0.131092871,0.224948289
,5/27/2019,30.19850572,30.17246962,0.179286959,0.181704885
,5/28/2019,29.72919011,29.61791317,0.219872178,0.242502917
,5/29/2019,29.39468153,29.24595284,0.219472607,0.229686379
