CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB7I,1/1/2019,19.13994368,19.25382312,1.527503323,8.82770143
,1/2/2019,18.56370823,18.99694133,0.620840466,12.14781404
,1/3/2019,18.89516656,19.25484069,0.391657004,13.25386043
,1/4/2019,18.85708888,19.50458185,2.523348053,8.935891946
,1/5/2019,16.95223292,17.35721382,1.603821083,4.243966947
,1/6/2019,15.52673221,17.05753398,0.070389655,7.450920264
,1/7/2019,14.96094215,17.25506067,0.011664852,9.348311226
,1/8/2019,15.20803213,17.57162404,0.059540121,9.584761421
,1/9/2019,14.86543612,17.53944985,0.612396669,8.947536131
,1/10/2019,13.15886386,13.68226147,0.212885075,1.384581087
,1/11/2019,12.19628052,12.20103498,3.17E-08,3.27E-08
,1/12/2019,12.5878975,12.32777429,0.259628832,1.025749176
,1/13/2019,13.79272449,12.90753651,1.225075322,2.871238828
,1/14/2019,12.36856997,13.7374297,1.277021028,3.944162669
,1/15/2019,11.70240521,14.43376104,1.756276255,6.329739412
,1/16/2019,10.63968305,12.31611379,1.491418861,4.338340044
,1/17/2019,12.22487326,13.25089165,1.506273235,4.730621
,1/18/2019,14.36745425,13.11178406,1.964662006,4.878913124
,1/19/2019,15.76250295,13.82603208,2.684053431,5.380907138
,1/20/2019,12.63299366,12.66542717,2.851008107,2.853566537
,1/21/2019,12.48232563,12.46233582,2.595608075,2.597070436
,1/22/2019,14.7317909,14.75640754,3.641058942,3.647331178
,1/23/2019,12.8799396,14.2301898,1.37803028,5.456786841
,1/24/2019,11.79612267,15.02883053,0.648171658,9.322502176
,1/25/2019,12.10970553,14.83881859,2.098232324,9.407125076
,1/26/2019,11.24650808,14.81057076,0.59005798,8.974142989
,1/27/2019,13.09309804,14.22049463,2.804726489,7.496646146
,1/28/2019,10.11330366,10.16427175,0.771272418,0.985130049
,1/29/2019,11.70240521,14.43376104,1.756276255,6.329739412
,1/30/2019,10.63968305,12.31611379,1.491418861,4.338340044
,1/31/2019,12.22487326,13.25089165,1.506273235,4.730621
,2/1/2019,11.52534572,11.35456832,0.774362947,0.844103917
,2/2/2019,12.83232685,11.69020208,1.5396587,1.955098415
,2/3/2019,15.79138037,12.48049887,1.520758932,8.032521685
,2/4/2019,18.85708888,19.50458185,2.523348053,8.935891946
,2/5/2019,16.81423112,13.75832001,1.056200239,14.30658293
