CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB9A,1/1/2019,18.89518348,18.66504876,1.92601712,2.383365919
,1/2/2019,19.04862634,18.93355385,1.797072937,2.665544132
,1/3/2019,19.19564001,19.15121635,1.781449084,3.279379417
,1/4/2019,18.92647433,18.95071721,2.197485228,2.193242396
,1/5/2019,16.7376593,16.97945348,2.06200244,3.615324295
,1/6/2019,16.10174195,16.11518737,0.588767974,0.621906289
,1/7/2019,16.02281964,15.8717231,0.53524006,0.619060811
,1/8/2019,15.92430906,15.66443157,0.260058112,0.354182109
,1/9/2019,15.45940737,15.19815179,0.258702024,0.521362158
,1/10/2019,13.33737775,13.36844635,0.163575731,0.163908547
,1/11/2019,12.385342,12.39631712,0.627545506,0.624484034
,1/12/2019,12.74962302,12.72249873,1.492198641,1.493816838
,1/13/2019,13.985683,13.71589641,1.132538855,2.767205641
,1/14/2019,13.2184118,13.22591964,1.732796426,2.007313887
,1/15/2019,12.49186063,12.57723264,2.292436992,2.41041259
,1/16/2019,11.07325617,12.15160453,2.468796978,6.611011545
,1/17/2019,12.50678941,13.81819816,2.815447688,9.376628786
,1/18/2019,13.98415848,14.74617561,3.220885058,12.9687506
,1/19/2019,15.49445987,15.68625319,5.735973358,15.60978204
,1/20/2019,11.82242711,12.23560063,7.251851459,12.22253511
,1/21/2019,12.48336148,12.48800143,5.471105357,5.728700598
,1/22/2019,15.00751805,15.65466774,7.283101062,11.55496526
,1/23/2019,13.07149462,13.15804672,5.672765036,5.752667864
,1/24/2019,12.19934694,12.25895405,3.465699777,3.707609902
,1/25/2019,11.84113832,11.82691725,1.368488694,1.506677796
,1/26/2019,12.02895876,11.73701549,1.172719183,2.073750213
,1/27/2019,12.25684011,12.20142631,1.60672691,3.121597389
,1/28/2019,10.71958697,10.70583634,2.219989876,2.266778817
,1/29/2019,12.74962302,12.72249873,1.492198641,1.493816838
,1/30/2019,13.985683,13.71589641,1.132538855,2.767205641
,1/31/2019,13.2184118,13.22591964,1.732796426,2.007313887
,2/1/2019,11.78651126,11.7627935,3.006777495,3.022907714
,2/2/2019,13.14727926,13.2503142,2.890621856,8.372190078
,2/3/2019,15.66635712,14.31176237,2.544503719,14.82292503
,2/4/2019,18.92647433,18.95071721,2.197485228,2.193242396
,2/5/2019,17.04562529,14.84465086,1.392619501,13.83030756
,2/6/2019,17.13687619,15.18213514,1.928506037,14.35824466
,2/7/2019,17.73762512,15.58509787,2.549565663,13.40235615
,2/8/2019,17.49431666,16.40186469,3.532308211,9.0590355
,2/9/2019,15.46830765,15.49492522,5.411909084,5.409741084
,2/10/2019,15.44777544,15.42989389,7.569878558,7.892685036
,2/11/2019,16.57246006,16.20141053,8.671801825,14.49764725
,2/12/2019,17.5234429,16.74987237,8.970292548,18.29559203
,2/13/2019,15.87830245,15.92292325,8.750526567,14.29191395
,2/14/2019,15.44328682,15.9831111,8.950005611,13.79074005
,2/15/2019,16.56304999,16.65365465,9.147384445,18.73311051
,2/16/2019,17.62279391,17.01783466,8.808574756,17.95094351
,2/17/2019,18.71622769,17.45910398,6.959645887,15.84706974
,2/18/2019,18.44262894,17.88691163,6.529486577,10.33753943
,2/19/2019,16.88689661,16.89198534,8.925478041,8.923337976
,2/20/2019,17.66979988,17.5498538,11.19884761,11.90198247
,2/21/2019,18.82784708,18.46153688,7.790288091,12.18962083
,2/22/2019,19.42187055,19.04535651,6.37818414,9.06800286
