CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB9E,1/1/2019,18.93115131,18.78589185,3.521494004,21.19379497
,1/2/2019,18.85138869,19.21597163,0.534381369,15.20516034
,1/3/2019,18.44083166,18.87506676,0.888590679,10.11826356
,1/4/2019,18.54111465,19.12912242,2.991950711,8.846785227
,1/5/2019,17.34232759,17.58389012,3.364849498,4.465331574
,1/6/2019,16.24152005,16.54879634,1.687575921,4.084844728
,1/7/2019,16.06909005,16.27127886,0.301091072,4.005489618
,1/8/2019,15.66551435,16.16715515,0.099467359,4.095365604
,1/9/2019,15.5650605,16.1527849,2.029767186,4.022655914
,1/10/2019,14.91709356,15.09670273,4.843565255,5.282998145
,1/11/2019,12.96340811,15.95910954,2.247606377,14.61232928
,1/12/2019,13.93366841,17.71037038,3.439567844,27.49475988
,1/13/2019,14.82551344,17.46378072,2.333666131,25.99412203
,1/14/2019,14.29141629,16.71565421,2.381614914,17.28020167
,1/15/2019,13.00320995,16.54697347,2.45954593,22.78665543
,1/16/2019,11.77274724,14.89245224,1.932484969,23.21718589
,1/17/2019,13.40927517,16.018381,2.372545108,23.74180452
,1/18/2019,15.09278925,15.63041397,3.31392175,21.33321397
,1/19/2019,16.06062353,15.67585901,8.504099329,21.03233369
,1/20/2019,12.70825108,13.4788301,7.65845259,12.44651532
,1/21/2019,13.45334486,15.78566368,9.357576688,24.85006428
,1/22/2019,15.29541771,16.59115346,7.826128264,25.45237978
,1/23/2019,13.64041344,15.5919017,5.070334693,14.17244458
,1/24/2019,12.68505307,15.54083844,3.003130058,15.30684423
,1/25/2019,12.61253456,15.61794841,2.248733903,20.85675271
,1/26/2019,12.71155385,15.66857409,1.384141815,21.46428744
,1/27/2019,12.59789586,15.27350986,2.361145274,15.94519464
,1/28/2019,11.84393581,14.7449526,5.127652764,24.60873612
,1/29/2019,12.96340811,15.95910954,2.247606377,14.61232928
,1/30/2019,13.93366841,17.71037038,3.439567844,27.49475988
