CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MP,1/1/2019,18.58062212,18.56900771,4.29E-05,4.30E-05
,1/2/2019,18.18120456,18.16168571,3.19E-06,3.15E-06
,1/3/2019,17.66804012,17.64547729,1.52E-05,1.49E-05
,1/4/2019,16.92366238,16.93915411,0.000193402,0.000198025
,1/5/2019,13.92644779,13.95131862,2.84E-06,2.91E-06
,1/6/2019,12.60510226,12.61207151,7.05E-07,7.14E-07
,1/7/2019,13.0817668,13.07535521,4.36E-07,4.41E-07
,1/8/2019,13.65732002,13.63404644,5.63E-07,5.74E-07
,1/9/2019,13.67941447,13.69500279,2.37E-07,2.37E-07
,1/10/2019,10.77698958,10.80901988,1.35E-09,1.36E-09
,1/11/2019,9.024745127,9.048513095,5.64E-08,5.34E-08
,1/12/2019,10.82010698,10.80830677,5.43E-06,5.39E-06
,1/13/2019,13.46862952,13.47857753,1.46E-05,1.46E-05
,1/14/2019,10.81126412,10.8371309,2.09E-07,2.12E-07
,1/15/2019,9.237575491,9.264926473,1.05E-07,1.05E-07
,1/16/2019,8.384270986,8.300851246,1.27E-07,1.26E-07
,1/17/2019,10.55442381,10.5447193,1.92E-07,1.94E-07
,1/18/2019,13.74217081,13.2934461,1.53E-05,1.55E-05
,1/19/2019,16.06950982,16.06709158,1.72E-05,1.73E-05
,1/20/2019,8.228299061,8.267009278,3.06E-07,3.07E-07
,1/21/2019,8.546967864,8.535793781,1.38E-06,1.38E-06
,1/22/2019,14.02552056,14.05053544,6.90E-05,7.00E-05
,1/23/2019,10.12207437,10.15239696,1.01E-08,1.01E-08
,1/24/2019,8.558355371,8.575078209,7.36E-09,7.18E-09
,1/25/2019,9.356585244,9.362767259,1.52E-08,1.48E-08
,1/26/2019,11.59204785,11.57781609,1.71E-07,1.77E-07
,1/27/2019,11.62238069,11.63616141,3.43E-07,3.66E-07
,1/28/2019,8.176311115,8.186430236,4.63E-07,4.53E-07
,1/29/2019,9.237575491,9.264926473,1.05E-07,1.05E-07
,1/30/2019,8.384270986,8.300851246,1.27E-07,1.26E-07
,1/31/2019,10.55442381,10.5447193,1.92E-07,1.94E-07
,2/1/2019,10.01877966,10.00312773,4.27E-07,4.26E-07
,2/2/2019,12.90345788,12.42243954,1.53E-06,1.48E-06
,2/3/2019,16.51197704,14.52925511,1.42E-06,8.48E-07
,2/4/2019,16.92366238,16.93915411,0.000193402,0.000198025
,2/5/2019,19.11801203,19.09906578,1.50E-07,1.51E-07
,2/6/2019,19.84824204,19.85964561,9.64E-08,9.72E-08
,2/7/2019,20.35265064,20.36433188,7.50E-08,7.59E-08
,2/8/2019,18.64097854,18.673045,5.75E-08,5.79E-08
,2/9/2019,12.72469052,12.75461968,4.08E-09,4.01E-09
,2/10/2019,13.34084268,13.32758427,6.06E-09,5.86E-09
,2/11/2019,13.86245799,13.81623578,1.55E-08,1.52E-08
,2/12/2019,15.3131297,15.29480247,3.65E-06,3.62E-06
,2/13/2019,13.92785068,13.96120203,2.64E-07,2.65E-07
,2/14/2019,15.02019644,15.04283134,2.24E-07,2.23E-07
,2/15/2019,15.69945316,15.69070435,1.18E-05,1.19E-05
,2/16/2019,19.31694468,18.8980697,6.67E-06,6.80E-06
,2/17/2019,21.82136536,21.82578206,2.76E-06,2.75E-06
,2/18/2019,20.19312874,20.22970978,1.83E-07,1.86E-07
,2/19/2019,16.43613235,16.44951359,4.67E-08,4.63E-08
,2/20/2019,17.50371965,17.48447959,9.00E-07,8.98E-07
,2/21/2019,20.98361047,20.96683725,2.70E-07,2.71E-07
,2/22/2019,22.20211403,22.20657055,1.69E-07,1.69E-07
,2/23/2019,22.8920118,22.89274963,2.55E-06,2.55E-06
,2/24/2019,14.02552056,14.05053544,6.90E-05,7.00E-05
,2/25/2019,15.6654648,15.70975812,2.70E-09,2.39E-09
,2/26/2019,14.8291171,14.79459508,6.49E-08,5.73E-08
,2/27/2019,17.24001777,16.88932983,3.59E-08,1.16E-08
,2/28/2019,19.56196944,19.54794749,5.23E-08,4.50E-08
,3/1/2019,20.54987446,20.5516243,3.29E-08,3.38E-08
,3/2/2019,21.00375485,20.99495117,1.12E-08,1.16E-08
,3/3/2019,20.86791102,20.88077799,1.36E-08,1.49E-08
,3/4/2019,15.76067078,15.79287382,8.30E-09,8.33E-09
,3/5/2019,11.53169759,11.56124842,1.90E-10,1.90E-10
,3/6/2019,8.709125479,8.724885742,6.14E-11,6.13E-11
,3/7/2019,9.940987746,9.933629513,1.55E-10,1.45E-10
,3/8/2019,13.16550644,13.11646994,6.53E-08,5.21E-08
,3/9/2019,17.04091442,17.01510588,2.18E-07,2.05E-07
,3/10/2019,19.33240787,18.97882557,8.59E-08,4.79E-08
,3/11/2019,20.20307676,19.82470409,3.05E-09,2.55E-09
,3/12/2019,18.29145618,18.28394282,1.69E-08,1.45E-08
,3/13/2019,18.34270509,18.33772842,3.23E-07,3.17E-07
,3/14/2019,20.62243605,20.61889672,1.39E-06,1.41E-06
,3/15/2019,21.23199781,21.25413839,2.13E-06,2.14E-06
,3/16/2019,17.54942524,17.58443944,4.93E-09,4.95E-09
,3/17/2019,14.06062682,14.08912905,6.04E-09,6.03E-09
,3/18/2019,13.35721203,13.37781747,5.66E-09,5.61E-09
,3/19/2019,14.14146896,14.16469065,3.65E-09,3.61E-09
,3/20/2019,14.47018882,13.80761309,2.13E-09,2.15E-09
,3/21/2019,14.72956109,14.75391785,5.25E-09,5.31E-09
,3/22/2019,14.70141057,14.67611206,2.24E-09,2.27E-09
,3/23/2019,15.78258749,15.16709141,1.11E-08,8.92E-09
,3/24/2019,16.66853885,16.61741885,9.56E-08,9.44E-08
,3/25/2019,18.52587152,18.32342855,3.66E-07,3.72E-07
,3/26/2019,20.15196506,20.17817426,1.19E-07,1.20E-07
,3/27/2019,17.9221189,17.94733655,3.03E-09,3.04E-09
,3/28/2019,18.69186831,18.71400468,1.88E-08,1.86E-08
,3/29/2019,18.36918732,18.33888857,2.62E-08,2.61E-08
,3/30/2019,19.79537328,19.79433298,3.82E-08,3.84E-08
,3/31/2019,19.37214994,19.39616903,8.32E-07,8.41E-07
,4/1/2019,14.99639392,14.96711914,6.42E-09,6.52E-09
,4/2/2019,16.40811872,16.42899299,2.52E-08,2.54E-08
,4/3/2019,17.18183613,17.20752807,1.34E-08,1.32E-08
,4/4/2019,18.5909423,18.60245927,9.12E-08,9.03E-08
,4/5/2019,20.31120499,19.37018371,6.60E-06,1.56E-06
,4/6/2019,21.17605607,20.76967128,5.47E-06,3.51E-06
,4/7/2019,22.06998054,22.06404241,8.55E-07,8.61E-07
,4/8/2019,22.55316003,22.559364,1.36E-05,1.35E-05
,4/9/2019,22.60206469,22.60847839,0.00092265,0.000928698
,4/10/2019,24.4357601,23.0507795,1.49E-06,1.57E-06
,4/11/2019,24.95278009,24.9768823,2.01E-06,2.04E-06
,4/12/2019,25.04520289,24.07227198,4.87E-06,5.00E-06
,4/13/2019,24.92549324,24.93951154,8.86E-07,8.73E-07
,4/14/2019,24.20246267,24.22528815,2.74E-07,2.76E-07
,4/15/2019,19.7727747,19.80333575,2.42E-09,2.46E-09
,4/16/2019,20.90411258,20.92802731,1.28E-09,1.26E-09
,4/17/2019,20.89252385,20.64083227,9.56E-09,9.89E-09
,4/18/2019,21.62004479,21.61330954,2.17E-07,2.18E-07
,4/19/2019,22.22270139,22.24165233,1.23E-07,1.25E-07
,4/20/2019,18.68266499,18.70022003,2.60E-10,2.66E-10
,4/21/2019,17.08824321,16.6732049,7.06E-10,6.01E-10
,4/22/2019,19.64579344,19.46865392,2.18E-09,2.10E-09
,4/23/2019,21.43831094,21.10764019,2.81E-08,2.92E-08
,4/24/2019,21.85227108,21.85229445,7.68E-08,7.60E-08
,4/25/2019,22.21529778,22.21685044,2.74E-07,2.72E-07
,4/26/2019,22.94341993,22.95834184,1.06E-07,1.10E-07
,4/27/2019,21.51594305,21.54107372,8.90E-10,8.92E-10
,4/28/2019,23.8483127,22.50522208,5.76E-09,6.56E-09
,4/29/2019,24.90167475,24.29172055,3.90E-09,3.62E-09
,4/30/2019,24.68726492,24.6956478,4.77E-09,4.77E-09
,5/1/2019,25.54244725,25.55935399,2.04E-09,2.04E-09
,5/2/2019,25.80195649,25.55944673,1.73E-09,1.32E-09
,5/3/2019,27.0266161,26.35220663,1.46E-09,1.53E-09
,5/4/2019,25.7177949,25.73885647,5.72E-08,5.76E-08
,5/5/2019,25.55939635,25.41006072,5.46E-08,5.56E-08
,5/6/2019,25.82081159,25.51398023,1.37E-08,1.36E-08
,5/7/2019,26.10621031,25.64996282,1.30E-08,5.72E-09
,5/8/2019,26.1041588,26.12716691,1.05E-07,1.03E-07
,5/9/2019,26.53781096,26.55223505,2.84E-07,2.85E-07
,5/10/2019,26.68528191,26.62411205,4.05E-07,4.04E-07
,5/11/2019,27.04479241,27.06254768,1.80E-07,1.79E-07
,5/12/2019,26.47213014,26.4899594,3.32E-07,3.33E-07
,5/13/2019,26.0632321,26.0819242,1.22E-07,1.24E-07
,5/14/2019,24.64384508,24.67936818,3.20E-09,3.22E-09
,5/15/2019,24.488096,24.45030181,1.43E-09,1.35E-09
,5/16/2019,27.09752552,26.15232396,2.61E-09,2.70E-09
,5/17/2019,27.35643331,26.8427163,6.09E-08,5.72E-08
,5/18/2019,26.54534841,26.48912517,1.91E-07,1.76E-07
,5/19/2019,26.38539259,26.39872106,1.31E-07,1.32E-07
,5/20/2019,27.64252297,27.41064962,2.19E-07,2.22E-07
